handle,location,review_title,rating_text,review_text,review_date,value_for_money,product_quality,customer_service,return_claim_made,incentivised_review,user_reviews_count,store_location,user_reviews_likes,rating_value,website,brand,page
Rob,,Elmsbury Triangle Tempters,1 out of 5 stars,"Elmsbury Triangle tempters, Spinach & Ricotta. The contents of Ricotta and cheese was non existent, 99% was puff pastry, and literally a speck of something green. Thoroughly disgusted in this product when the advertising on the bag shows differently, misleading, false. And im an Aldi shopper, and never write reviews.",2023-01-04T07:48:14.000Z,1,1,3,,False,2,,1,1,ProductReview.com.au,ALDI,1
TPT,,Aldi - keeping the low prices and reducing amount in packets.,2 out of 5 stars,"You know the packs look the same size and the price is the same.... But.......You walk into the store assuming that buying 20 x what appear to be the same old 1 Kg packs of XYZ product, is going to get you 20 Kg of product, and then you find that your only getting 16 Kg of product. Oh the monthly shop up - lets start looking at other vendors. Like the local green grocers and market gardeners and butchers....",2023-01-02T04:20:59.000Z,3,3,,False,False,118,,180,2,ProductReview.com.au,ALDI,1
Prefer not to say,,"If ur a mum don’t shop at Aldi, they can’t help",1 out of 5 stars,Do not buy from Aldi the worse service I was trying to buy a bedside table while having a baby in a pram. The box didn’t fit in the pram and I asked if someone could help me take it to the car and no one was able to help. After fighting they would call another store to see if they have stock,2022-12-30T05:07:37.000Z,1,1,1,,False,6,,1,1,ProductReview.com.au,ALDI,1
Joe P,,ALDI Bad Different,1 out of 5 stars,"Cheaper is not best and I shall be putting this on the ""Product Review"" website in due course.",2022-12-30T04:56:38.000Z,1,1,3,,False,2,,2,1,ProductReview.com.au,ALDI,1
Chris P,,Bonus Purchase,4 out of 5 stars,"I bought this because it said it would turn 33rpm recordings into MP3's.It does the same thing with Cassettes and Radio. You can connect a Mic.I taped all my bull sit clarinet, violin and trumpet solos and was shockedto find I sounded really good 1 out of 4 recordings. It's a 33 rpm recordplayer they sell once a year for $70 AUS",2022-12-27T01:30:29.000Z,,,,,,22,,6,4,ProductReview.com.au,ALDI,1
Dave T,"Gippsland, VIC",Iron Bark Chip Hazy IPA,5 out of 5 stars,I love Craft Beer and this beer is delicious. Fantastic value for money. I'm just hoping it going to be part of the normal product line.,2022-12-24T10:30:31.000Z,5,5,5,,False,,,,5,ProductReview.com.au,ALDI,1
craig m.,"Greater Melbourne (Outer), VIC",Boneless lamb leg roast,1 out of 5 stars,Wow not sure what part of the animal this piece of meat came from completely full of fat wasn't any part of the Leg . $21.00 per kilo for dog meat,2022-12-24T07:42:00.000Z,1,1,1,,False,,,,1,ProductReview.com.au,ALDI,1
John B.,,Fruit not so fresh,2 out of 5 stars,"Bought some pears and apricots. The pears started going off within two days, apricots within three days it was a complete waste of money I am going to my local fruit shop from now on.",2022-12-24T02:10:32.000Z,1,1,,,False,2,Logan,1,2,ProductReview.com.au,ALDI,1
Marilu,,"Fruit and veggie not so fresh, sometimes rotten.",3 out of 5 stars,"One star for the staff who work really hard. One star for the sweet crepes and the tiramisu. One star for the good extra virgin olive oil. Unfortunately quality is not consistent among all areas; e.g. the fruit and veggies one is downgrading more and more. I got a basket of navel oranges that looked ok from outside but once at home I realised that the 60% of them was rotten, and that wasn’t the first time this happened. Considering that the prices are not so convenient as they were a few years ago, I’m not sure shopping at Aldi is still worthy.",2022-12-23T13:17:13.000Z,2,2,4,,False,9,,3,3,ProductReview.com.au,ALDI,1
lisa,,Mince was inedible,1 out of 5 stars,The meat would not be able to digest i couldnt even break it up to flush down sink fatty disgusting will be stuck in guts for years,2022-12-19T05:34:58.000Z,1,1,3,,False,5,,2,1,ProductReview.com.au,ALDI,1
Vapour_path11,,Poor customer service!,1 out of 5 stars,"ALDI in its own words have 3 main core values towards its customers and these are, quoted from their own website; Consistency,... simplicity and responsibility. The one that stands out the most here too me is the responsibility aspect. Quote on quote ALDI states under this that ""{responsibility} Stands for our commitment towards our people, customers, partners and the environment, as outlined in our CR Principles. It also includes principles such as fairness, honesty, openness, service standards and friendliness."" Something that now proves to be almost utterly false. Lets talk about my experience at hand, a individual known to us (who to which seems to have an unrealated personal issue with us for an unknown reason) began working at my local store. Now I've been shopping here, with next to absolutely 0 issues since it opened and found it too be pleasant other then a obvious decline in the ""special buys"" availability. However alittle over a year ago i was shopping here and this previously mentioned individual so happened to be working that same day, un-to-known to us at the time, this person who has some issue with us, took it apon them selves to tell members of this store, including the manager, a fabricated story which resulted in a disgusting response by those involved. They proceeded to make a scene, including the check out chick who literally threw the groceries at us and all of those involved told us we weren't to come back. This individual who mind you wasnt the one who threw the stuff at us, then left their register and then followed us outside to continue the altercation, meanwhile there was people waiting to be served by this person. To trim the story down, they essentially told us were not allowed back, we wouldn't be served if we did come back and that police could be called. A staff member too, after we'd left, who wasnt even working that day had been called and came and abused us outside of the store entirely. After all of this we proceeded to call customer service which was the biggest joke as well as sending various emails in regards to it all. We were also told maybe I'd be better to shop elsewhere or on a day this person wasnt here. So we then took precautions such as getting other family members to go in or trying to go in on days this person wasn't here and this created a slightly less hostile environment. Alittle over a year later, long after this, today as im writing this infact, we decided to go in there since we knew this person wasnt working and the fact that we had gone in 2 weeks prior with no issues at all. So therefore we assumed everything to be okay now. The shop started off normal we got our stuff that we needed and were finishing up when a two thug like staff members approached very rudely and proceeded to evict us from the store. We proceeded to ask on what terms were we actually banned from the store and both of these thugs couldn't actually provide a reason other then ""that we've been told your banned"". They claimed to have mailed a banning notice, to which was false. They didn't service a notice of any sort at the time to say the reasoning for this ban other then simply verbally stating that we were banned. They also told us that we wouldn't be served which meant we had to abandon the trolley full of goods in the supermarket. Throughout this whole ordeal they also proceeded to call the police which we insisted they do as they had no reasoning to stand on, to which the police arrived. We spoke with two very nice police officers who proceeded to hear what happened and said that theyd talk to the manager and see the reasoning before theyd get back too us. They never did, so we assumed there wasn't a legitimate reason for a ban. Under the discrimination act of 2010, to which a organisation must provide a safe and bully free environment to consumers however this isn't the case with ALDI and it seems that this kind of behaviour is acceptable. They can literally get away with bullying, harassment and emotional abuse over simply disliking you as a person and nothing more. Ive also been made aware too that i can be ""blacklisted"" with my personal information, which can be distributed to other stores who can ban me too for absolutely doing nothing at all. ",2022-12-18T04:53:21.000Z,2,2,1,,False,3,,1,1,ProductReview.com.au,ALDI,1
Mal L,"South East Queensland, QLD",Chicken necks.,2 out of 5 stars,Chicken necks. I bought 5 bags of chicken necks to feed my pets. Every bag the necks were off. They smelt terrible. I am a pensioner and I can't afford to waste money. Not happy.,2022-12-17T21:28:34.000Z,,,,,,,,,2,ProductReview.com.au,ALDI,1
mike,,"Good Value, Where? coles?",1 out of 5 stars,"For a while now, each time I go into Aldi to do my weekly shopping I find several items have gone up in price. As of this week, pretty much everything which I usually buy has gone up and the quality has dropped.Now I have stopped buying non essential items like biscuits and yogurt among other things from Aldi. Now I buy some grocery items at Coles which are on special. Pretty soon I wont be shopping at Aldi anymore as its just getting too expensive. Maybe your slogan should be something like Good, Different, Expensive.",2022-12-15T03:54:56.000Z,1,2,2,,False,12,,10,1,ProductReview.com.au,ALDI,1
optimist,,Be very careful,1 out of 5 stars,The last time i went to aldi my coffee was stolen by the checkout guy.I was the only customer in the store.The coffee was on my RECEIPT and i checked my bag before leavingWhen i asked the checkout guy he asked me if i had a witnessI WILL NEVER RETURN TO A STORE WHERE THE STAFF STEAL FROM MEHIS NAME WAS NOT ON THE RECEIPTHE HAD OBVIOUSLY NEW THE SYSTEM AND HAD DONE THIS BEFORE,2022-12-15T03:21:20.000Z,1,1,1,,False,16,,3,1,ProductReview.com.au,ALDI,1
Geoff,,Customer service fail,2 out of 5 stars,"I had a problem at Aldi Chirnside Park where the checkout person damaged an item and then was rude when I mentioned it to them. I used the Aldi customer service store complaints form and after completing it says there is an approximate 4-step process. Someone contacted me from Customer Service, asked for specific details, apologised, and said I would be contacted within 48 hours by the store in question after they had looked into it. A week later no one had rung. So I used the form again and I spoke to someone who apologised that the process ha...d failed and someone would contact me within 48 hours, A week later, no one contacted me. I sent in another contact form asking what happened, and NOTHING. Aldi advertises well, they look like a good store to switch to, but when there is a problem they don't do what they state they'll do, which is to offer professional customer service. Of the 4 steps they offer, they only get to 2 and disappear. I was a happy convert, but I don't wish to pay the wages of staff that are rude to me, and damage my purchases, so I will go back to where I was shopping previously. It's great to have good advertising, but it needs to be followed up with professional customer service when it's required.",2022-12-13T08:57:38.000Z,,,,,,11,,8,2,ProductReview.com.au,ALDI,1
Julie P.,"Perth, WA",Christmas dinner ruined,1 out of 5 stars,Pork roast seemed to have been soaked in something and had no taste at all. It had the texture of a deli meat in it's centre. Was rubbery to eat and despite 50 yrs experience in crackle making I could not make it crackle. Ruined my Christmas dinner.,2021-12-27T04:26:17.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,10
Sue Swinfield,"Sydney, NSW","Curated Collection, luxury puddings and cakes",5 out of 5 stars,The most delicious bought pudding and Christmas cake I have ever tasted. I've purchased these for friends and they've all agreed with me. Thanks ALDI. Please make sure you sell them again next year,2021-12-26T11:31:33.000Z,,,,,,,,,5,ProductReview.com.au,ALDI,10
Elina C.,,They are not honest on special,2 out of 5 stars,"3 times was chasing 499$ Smart TV and 3 times it wasn't arrived. Woke up early in morning , stayed in line , waiting when they open, and no one from the staff didn't come out and didn't say, tv is not arrived.They should say it, and they should update website. People take a time, driving there for get specials and its not there.",2021-12-24T05:41:49.000Z,,,,,,3,,3,2,ProductReview.com.au,ALDI,10
Angela,Victoria,Availability of products,2 out of 5 stars,It's very disappointing that Aldies have so few European foods in store these days . You can buy them at Woolworth so why not Aldies . I thought they are a German company. If it wasn't for some special buys there is no point shopping there anymore,2021-12-24T01:51:03.000Z,,,,,,,,,2,ProductReview.com.au,ALDI,10
Gyps,,"Sneaky, deceptive, contempt for customers",1 out of 5 stars,"The rot started with LED light bulbs, which I bought in bulk. By the time it came to using them my receipt was out of date. So much for their 100% money-back guarantee. One after the other of the bulbs failed, the dimmable were a particular joke - flickering like a strobe, darkening, brightening and then reducing permanently stuck barely like a night light. Even though packaging clearly stated Aldi, refused to honour guarantee. Next: the porcini mushroom triangles. 3 packs fed four and leftovers. Suddenly we were fighting over five triangles... each. I looked at the packs and they had been drastically shrunken. But same price!!!! Ricotta in a basket, the same!!!! Laundry liquid - first the lid / measuring cup capacity doubled, meaning we were suddenly tricked into using more. Next purchase, the thick concentrated liquid had turned as thin as water!!! Now I tear through a bottle in weeks instead of months. The Lyttos yoghurt - God knows what they did there, but package change coincided with a decline in taste and consistency. Who knows how many more items have been doctored and fudged and tweaked to stooge their customers. So so deceitful, Aldi - you STINK. And it's not cheap anymore - people compare with your local greengrocer and stop supporting these thieves. Absolute disgrace, Aldi!!!!!",2021-12-21T08:57:23.000Z,,,,,,8,,7,1,ProductReview.com.au,ALDI,10
Harry B,,Queues still awful when will this endemic issue at Aldi be fixed,1 out of 5 stars,Update. Some months later . Dropped to one star. Queue and no tills attended. None ! Mordialloc Branch,2021-12-21T04:43:41.000Z,,,,,,34,,13,1,ProductReview.com.au,ALDI,10
Salma H.,,The worst experience,1 out of 5 stars,That shows that they value for their product not for the customer.,2021-12-21T00:01:20.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,10
John,"Metropolitan Adelaide, SA",ALDI FINDON,1 out of 5 stars,No customer service as there is no one in store to assist you.2 staff only behind checkout counter!!1 star only for this store.,2021-12-20T03:30:03.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,10
CAROLINE,,Poor Staff Attitude,1 out of 5 stars,"Sunbury Aldi at 9.43 am, 19th December. While at the Checkout I came across a bottle of cream with a lid that had removed itself in my shopping bag. The cream was everywhere including my purse, my phone and my sunglasses. The bag is now in the bin and the rest cleaned. The lady on the checkout never once apologised, not interested. I was even obliged to ask for a cloth as she offered nothing to clean the mess everywhere. She only acknowledged the incident long enough to ask if I knew where the lid was. Yes, still in my bag floating around in th...e cream. I handed it across - still no apology! Yes, probably the most dismissive and rude member of staff I have ever encountered. My new bag is now in the bin and this has turned out to be a really expensive bottle of cream. PS. Why can I never find wipes to clean trolleys??",2021-12-18T23:49:45.000Z,,,,,,14,,5,1,ProductReview.com.au,ALDI,10
L Daniel,,Lobster Tails,1 out of 5 stars,I found them @ Logan Central. Could not believe lack of weight; felt like 2 empty boxes. For $60?! No way!,2021-12-13T20:23:34.000Z,,,,,,5,,,1,ProductReview.com.au,ALDI,10
Farrah F.,"Metropolitan Adelaide, SA",Lying on special items,1 out of 5 stars,"Today ( Wednesday 8/12/21), Aldi was supposed to bring lyric day and night cream based on what it had written in its catalog, but unfortunately it was not available. When I talked to one of the staff, he said that many of the special items that were supposed to arrive today had not arrived. Customers make time for these items and sit behind Aldi's door very early in the morning, and I consider this a big lie and I will never trust Aldi and I will write this on Facebook aswell.",2021-12-13T00:00:20.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,10
Ciao Telstra !,,Now I know why the Germans have no sense of humour !,1 out of 5 stars,Yeah Ok - 'some' inferior items are cheaper - BUT - very limited items - Chinese made Junk Specials at twice the price - and the most annoying checkout you could ever imagine !!! Gone back to Woollies !!!,2021-12-12T11:02:21.000Z,,,,,,35,,47,1,ProductReview.com.au,ALDI,10
Maggie,,Poor service,3 out of 5 stars,"Sunday afternoon around 1pm, attended aldi’s to buy groceries got nearly all i needed the one article i must buy was milk, but no 2lt full cream milk not one bottle, when asked a staff member was there any out back, nope none til next delivery but theres a 3lt there. Ah no only 2 ppl 2lts last 3 days. Poor for a big supermarket not to have milk in supply.",2021-12-12T08:47:20.000Z,,,,,,13,,6,3,ProductReview.com.au,ALDI,10
Angela,,Please refrigerate your chicken products,1 out of 5 stars,"To add insult to injury Aldi reimbursed me for the item but didn't offer a free replacement . Need to keep up with yo...ur competition Aldi , woolworth's not only refunds the product but also offers a free replacement. I will never buying chicken from Aldi again, my family will end up with food poisoning . Terribly disappointing !",2021-12-11T09:17:25.000Z,,,,,,2,,,1,ProductReview.com.au,ALDI,10
Bruno,,Prawn wrapped in prosciutto disgusting and off,1 out of 5 stars,"I started to cook these as instructed and noticed the white freezer burn on the tails. Again the smell while cooking was not appea...ling at all . Finally cooked and not really as excited anymore I finally tried one. It was absolutely disgusting and definately not right. It tasted off . I threw the rest out . Yuck!!! I absolutely love Aldi and actually went there to look for lobster tails but it’s a big hell no after those putrid prawns . Who does your quality control, why would a company throw seafood in a cardboard box that’s not sealing in plastic first. Has anyone at Aldi ever opened one of these? Can’t say as a chef that I’ve ever seen anything like that before . Your prawns are disgusting and not fresh when frozen or they thawed out at some stage and were refrozen very dangerous combination regardless . What a waste of $19 .",2021-12-11T09:13:21.000Z,,,,,,6,,2,1,ProductReview.com.au,ALDI,10
Michelle K.,"Hunter Region, NSW",Tape measure,1 out of 5 stars,"Bought a tape measure off you.The retractable system was too fast when contract , it flicked back and sliced a big chunk out of my finger. All the edges and end are too sharp. I couldn’t stop the bleeding for over 4 hours , because it was deep. Very dangerous product.",2021-12-08T03:51:05.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,10
lis,,Pita bread seems to be contaminated with flake,1 out of 5 stars,"Bought pita bread that is suitable for vegans. Seems to be contaminated with flake and taste like fish. now i am vegan abd this is terribly upsetting. not only did it make me want to throw up, i couldnt even finish my meal. I wasted all my time and engery and money to make it, then has to throw it.",2021-12-07T03:40:07.000Z,,,,,,18,,1,1,ProductReview.com.au,ALDI,10
Mark B.,,Lobster tails,1 out of 5 stars,Lobster Tails $30...read packaging less than 10% Australian and lobster is from Brazil...completely flavourless probably that's why garlic butter is included..please dont wasye your money!,2021-12-06T09:12:34.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,10
Dave,,"Parts Missing, No Support....",4 out of 5 stars,"Beware Gardenline 20m Retractable Garden Hose, Wall Plugs may not be supplied. Suppler elitetec group don't reply to emails or message service.",2021-12-02T06:56:40.000Z,,,,,,2,,1,4,ProductReview.com.au,ALDI,10
george bouzidis,,Availability of product,2 out of 5 stars,A week ago the Aldi catalogue advertised 250gm Salmon Gravlax for $7.99 and Smoked Ocean Trout 300mg for $9.99 to be available from a certain day. I walked 2 kilometers to buy these products only to be told they had not arrived and to try the next day or the following days. I again visited the Morley branch and Inglewood branch only to be told that as a result of Covid 19 deliveries to stores could not be guaranteed. When other super markets sell out of product or it is unavailable one is able to obtain a rein check and be advised when the prod...uct becomes available. Not Aldi. It has happened before when a product is advertised and only small quantities are available thus tricking the customer to visit the store in the hope they buy other goods. Customers not interested in excuses about pandemics or anything else. If the product is not sitting in the local warehouse it should not be advertised for sale. Management have attitude and are untrained in customer service.,2021-12-01T04:04:29.000Z,,,,,,54,,55,2,ProductReview.com.au,ALDI,10
Gail,,Not too fresh,2 out of 5 stars,Biscuits taste as if they’ve been packaged too long even though well within date. Fruit and veg not as good as it used to be and meat very poor quality.,2021-12-01T02:15:48.000Z,,,,,,17,,8,2,ProductReview.com.au,ALDI,10
Paul c,,Quality not there,2 out of 5 stars,Slowly changing products to give customers less bargains.Will no longer buy any of their fruit.Quality just not there.Starting to look like a not quite right store.,2021-11-30T19:18:03.000Z,,,,,,4,,2,2,ProductReview.com.au,ALDI,10
beth,,Food seems NQR (not quite right),1 out of 5 stars,"Used to be good quality food..sadly not anymore. Somethings not quite right with it..Is it possible to sell knock off food? Noticed the label is not of food grade quality standards either. This is not right. Food needs to be approved by legal standards company and they have struct guidelines. They claim it is organic and natural but does not taste organic or natural. Irganicolives and beans dont taste the same, bread taste and texture is like a sponge, bought mixed olives and capsicum in oil, seems to be contaminated with percutio meat. dont ha...ve pics of all products as had to throw away. I am vegan and this is very upsetting. This is food people are ingesting. This is very serious, if the standards are not followed, people health could be effected. And they used to be cheao but now are charging so much for vegtables and fruit.",2021-11-30T03:24:07.000Z,,,,,,24,,8,1,ProductReview.com.au,ALDI,10
Kevin C,,ALDI's Poor Customer Service,1 out of 5 stars,"Tried to purchase a 60” 4K Ultra HD TV from ALDI. Local Store Manager said the catalogue item did not come in: “it may arrive in a week, or it could be a month, so check available stock details online.” The Manager’s parting comment was: “If we didn’t receive stock, neither will any nearby stores.”Looked at ALDI’s website, as suggested — “Special Buys Product Delays” and “Check Available Stock”. Of the twenty nearby stores: ten indicated - We are sold out; nine indicated - ! No stock information available; and one indicated - Stock availabl...e. Rang ALDI’s only listed contact number (13 25 34) to confirm the stock situation. The phone prompts indicated it was not possible to speak to a real person, let alone a specific ALDI store. So, I travelled over thirty kilometres to the store listed as having stock, only to find it had just two 4K TVs, both of which were faulty returns and as such were not available for sale. Come on ALDI, at least try to be fair dinkum. We understand hustling customers through checkouts and providing no store contact details is part of the model that keeps costs down. Nonetheless, ALDI could at least make an effort to ensure that the one and only point of contact system ALDI wants customers to use is at least capable of differentiating between Stock available (total stock inventory) and Stock Fit/Ready for Sale.",2021-11-29T07:26:08.000Z,,,,,,5,,,1,ProductReview.com.au,ALDI,10
Jenna,,Aldi chicken snitzels,1 out of 5 stars,My husband purchased chicken snitzels from Aldi and I am shocked at the quality. They appears to be masticated chicken pieces that no one wants and mostly crumbs. Definitely will not be purchasing them again.,2021-11-29T07:22:38.000Z,,,,,,48,,38,1,ProductReview.com.au,ALDI,10
Sue,"Richmond-Tweed, NSW",Frozen honey glazed roasted parsnip,1 out of 5 stars,I think I want to vomit seeing the amount of oil that came out of the parsnips after I cooked them,2022-12-13T03:00:52.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,2
Anne,,Would rate a 0 if I could,1 out of 5 stars,"Been to 2 Aldi stores to get the vinyl records advertised in the brochure. The first store didnt know if they were getting them or when. The second store, the man could barely speak English and didnt know when or if they would get stock. Tried to ring. Impossible. They have no contact details to speak to a person.This is not the first time they do not have stock advertised.",2022-12-13T02:29:44.000Z,1,1,1,,False,5,,2,1,ProductReview.com.au,ALDI,2
Gin O.,"Greater Melbourne (Metropolitan), VIC",Selling rotten R2e2 mango at $1.99,1 out of 5 stars,I brought 7 R2e2 mangoes on 3 December 2022. All of them rotten internally. I have the receipt and photo to prove.,2022-12-12T00:45:33.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,2
Richard L.,,Collingwood decided only self service se,1 out of 5 stars, Collingwood have recently renovated looks goodHowever now only self servicePoor girl who was the only staff said they will open check out if requested ???Rubbish as checks outs used to store itemsAfter years end my association with Aldi,2022-12-09T07:27:19.000Z,,,1,False,False,,Collingwood,,1,ProductReview.com.au,ALDI,2
Shopper,,Aldi customer service improvement,2 out of 5 stars,Would be great if Aldi introduced a search engine like other supermarkets. The many catalogue views are clunky and don't fulfil the advantages of search engines which would help the many millions of customers - otherwise Aldi products and staff are great!,2022-12-07T18:15:59.000Z,,,,,,10,,1,2,ProductReview.com.au,ALDI,2
Kevin Howe,"Northern Region, NSW",Bank charge on debit card,1 out of 5 stars,"7/12/22 we have been charged again for using a visa DEBIT card not a credit card, also before 10 am a bottle of alcohol purchased not bagged please Aldi what are you doing ThankyouKevi Howe",2022-12-07T13:14:59.000Z,1,5,1,,False,,,,1,ProductReview.com.au,ALDI,2
Sue F.,"Metropolitan Adelaide, SA",Discusting,1 out of 5 stars,So discussed that if you don't show some little boy inside your handbag they will refuse to serve you. Well discussed with Adli at Munnopara when a little crap decides you don't get served if he cannot look in your bag. I don't think so don't care what your policy says it's not a law maroon. I send hundreds of dollars on this shop every week for along time and have NEVER had this problem before. Your little trash hero has just lost you a customer. One who runs a business of there own and spends thousands of dollars each week in this store. DISCUSTING,2022-12-06T05:57:10.000Z,1,1,1,,False,,,,1,ProductReview.com.au,ALDI,2
Kat,,Do not buy from then I would give a no star if possible,1 out of 5 stars,"Missing parts no help from them at all and no help from the supplier, apparently not available not even a year fighting for parts so I could build it. Suppliers are meant to have parts for a reasonable time in Australia # acccaustralia",2022-12-06T05:15:00.000Z,,,,,,,,,1,ProductReview.com.au,ALDI,2
Varise K.,,Butter chicken with bone in it.,1 out of 5 stars,"I normally absolutely love the international cuisine, but tonight I nearly choked to death on a sharp chicken bone. I have put the bone in a glad bag and it has pierced through it.",2022-12-05T05:09:37.000Z,1,1,,False,False,,,,1,ProductReview.com.au,ALDI,2
Tracey N.,"Metropolitan Adelaide, SA",Terrible dimsims,1 out of 5 stars,The Urban Eats dimsims from Aldi have a very bitter taste. Yucky!!,2022-11-29T08:37:59.000Z,1,1,,False,False,,,,1,ProductReview.com.au,ALDI,2
